cameraId,capturedAt,bandId,predictedCarsFit,truthCarsFit
6,1787427604000,b0,1,
14,1787427604000,b0,0,
14,1787427604000,b1,1,
25,1787427606000,b0,0,
25,1787427606000,b1,1,
27,1787427606000,b0,1,
33,1787427606000,b0,2,
38,1787427616000,b0,0,
41,1787427607000,b0,0,
48,1787427608000,b0,0,
49,1787427608000,b0,0,
49,1787427608000,b1,0,
57,1787427609000,b0,0,
60,1787427609000,b0,1,
60,1787427609000,b1,1,
62,1787427610000,b0,1,
75,1787427611000,b0,0,
76,1787427611000,b0,0,
77,1787427611000,b0,2,
78,1787427611000,b0,2,
82,1787427612000,b0,2,
104,1787427675000,b0,0,
122,1787427676000,b0,1,
122,1787427676000,b1,1,
156,1787427680000,b0,0,
157,1787427680000,b0,1,
162,1787427681000,b0,0,
163,1787427681000,b0,0,
164,1787427681000,b0,0,
164,1787427681000,b1,0,
171,1787427682000,b0,0,
178,1787427683000,b0,2,
201,1787427688000,b0,0,
219,1787427689000,b0,1,
220,1787427689000,b0,2,
